matrix_index,source_row,side_effect_name,optimuskg_id,mapping_method,mapping_status
756,757,prothrombin level increased,,,unmapped
757,758,itch rash,,,unmapped
758,759,pruritus,,,unmapped
759,760,pruritus generalised,,,unmapped
760,761,pruritus genital,,,unmapped
761,762,falsehood lymph tumor,,,unmapped
762,763,pseudomembranous colitis,,,unmapped
763,764,psoriasis,,,unmapped
764,765,psychomotor retardation,,,unmapped
765,766,psychotic disorder,,,unmapped
766,767,pulmonary congestion,,,unmapped
767,768,pulmonary embolism,,,unmapped
768,769,pulmonary fibrosis,,,unmapped
769,770,pulmonary function test decreased,,,unmapped
770,771,pulmonary hypertension,,,unmapped
771,772,pulmonary oedema,,,unmapped
772,773,punctate keratitis,,,unmapped
773,774,pupils unequal,,,unmapped
774,775,purpura,,,unmapped
775,776,pyelonephritis,,,unmapped
776,777,urine purulent,,,unmapped
777,778,rales,,,unmapped
778,779,rash,,,unmapped
779,780,rash erythematous,,,unmapped
780,781,rash generalised,,,unmapped
781,782,rash macular,,,unmapped
782,783,macula papules rash,,,unmapped
783,784,rash papular,,,unmapped
784,785,rash pustular,,,unmapped
785,786,rectal haemorrhage,,,unmapped
786,787,defecation urge painful,,,unmapped
787,788,regurgitation,,,unmapped
788,789,renal failure,,,unmapped
789,790,renal impairment,,,unmapped
790,791,renal pain,,,unmapped
791,792,renal tubular necrosis,,,unmapped
792,793,respiration abnormal,,,unmapped
793,794,respiratory depression,,,unmapped
794,795,respiratory disorder,,,unmapped
795,796,respiratory distress,,,unmapped
796,797,respiratory failure,,,unmapped
797,798,respiratory tract congestion,,,unmapped
798,799,respiratory tract infection,,,unmapped
799,800,restless legs syndrome,,,unmapped
800,801,retching,,,unmapped
801,802,retinal degeneration,,,unmapped
802,803,retinal detachment,,,unmapped
803,804,retinal disorder,,,unmapped
804,805,retinal haemorrhage,,,unmapped
805,806,retroperitoneal haemorrhage,,,unmapped
806,807,rhabdomyolysis,,,unmapped
807,808,rheumatoid arthritis,,,unmapped
808,809,rhinitis,,,unmapped
809,810,rhinitis allergic,,,unmapped
810,811,mucous nasal increased,,,unmapped
811,812,dry rales,,,unmapped
812,813,road traffic accident,,,unmapped
813,814,rosacea,,,unmapped
814,815,salivary gland enlargement,,,unmapped
815,816,increased salivation,,,unmapped
816,817,oviduct inflammation,,,unmapped
817,818,scab,,,unmapped
818,819,reaction schizoid,,,unmapped
819,820,sciatica,,,unmapped
820,821,sclera inflammation,,,unmapped
821,822,seasonal allergy,,,unmapped
822,823,seborrheic dermatitis,,,unmapped
823,824,seborrheic keratosis,,,unmapped
824,825,sensation of foreign body,,,unmapped
825,826,sensory disturbance,,,unmapped
826,827,sensory loss,,,unmapped
827,828,sepsis,,,unmapped
828,829,septic shock,,,unmapped
829,830,serotonin syndrome,,,unmapped
830,831,serum sickness,,,unmapped
831,832,sexual dysfunction,,,unmapped
832,833,shock,,,unmapped
833,834,salivary glands inflammation,,,unmapped
834,835,sinus bradycardia,,,unmapped
835,836,sinus congestion,,,unmapped
836,837,sinus headache,,,unmapped
837,838,sinus tachycardia,,,unmapped
838,839,sinusitis,,,unmapped
839,840,skin atrophy,,,unmapped
840,841,skin burning sensation,,,unmapped
841,842,skin cancer,,,unmapped
842,843,skin discolouration,,,unmapped
843,844,skin disorder,,,unmapped
844,845,skin exfoliation,,,unmapped
845,846,skin hyperpigmentation,,,unmapped
846,847,skin hypertrophy,,,unmapped
847,848,skin infection,,,unmapped
848,849,skin irritation,,,unmapped
849,850,skin lesion,,,unmapped
850,851,skin mass,,,unmapped
851,852,skin odour abnormal,,,unmapped
852,853,skin papilloma,,,unmapped
853,854,skin striae,,,unmapped
854,855,skin ulcer,,,unmapped
855,856,sleep apnoea syndrome,,,unmapped
856,857,sleep disorder,,,unmapped
857,858,sluggishness,,,unmapped
858,859,sneezing,,,unmapped
859,860,snoring,,,unmapped
860,861,somnambulism,,,unmapped
861,862,somnolence,,,unmapped
862,863,speech disorder,,,unmapped
863,864,splenomegaly,,,unmapped
864,865,sputum increased,,,unmapped
865,866,staphylococcal infection,,,unmapped
866,867,status epilepticus,,,unmapped
867,868,stevens johnson syndrome,,,unmapped
868,869,sticky skin,,,unmapped
869,870,stomatitis,,,unmapped
870,871,bladder and urethral symptoms,,,unmapped
871,872,wheezing,,,unmapped
872,873,stupor,,,unmapped
873,874,subarachnoid haemorrhage,,,unmapped
874,875,subdural haematoma,,,unmapped
875,876,sudden death,,,unmapped
876,877,suicidal ideation,,,unmapped
877,878,suicide attempt,,,unmapped
878,879,sunburn,,,unmapped
879,880,ectopic beats atrial,,,unmapped
880,881,supraventricular tachycardia,,,unmapped
881,882,swelling,,,unmapped
882,883,swelling face,,,unmapped
883,884,syncope,,,unmapped
884,885,systemic lupus erythematosus,,,unmapped
885,886,tachycardia,,,unmapped
886,887,respiration stimulated,,,unmapped
887,888,tardive dyskinesia,,,unmapped
888,889,telangiectasia,,,unmapped
889,890,temperature intolerance,,,unmapped
890,891,tenderness,,,unmapped
891,892,tendinous contracture,,,unmapped
892,893,tendon disorder,,,unmapped
893,894,tendonitis,,,unmapped
894,895,tendon sheath inflammation,,,unmapped
895,896,tension,,,unmapped
896,897,tension headache,,,unmapped
897,898,testicular pain,,,unmapped
898,899,tetany,,,unmapped
899,900,therapeutic response unexpected,,,unmapped
900,901,thinking abnormal,,,unmapped
901,902,thirst,,,unmapped
902,903,throat irritation,,,unmapped
903,904,throat tightness,,,unmapped
904,905,thrombocytopenia,,,unmapped
905,906,platelets increase,,,unmapped
906,907,thrombophlebitis,,,unmapped
907,908,thrombosis,,,unmapped
908,909,thrombotic thrombocytopenic purpura,,,unmapped
909,910,thyroid disorder,,,unmapped
910,911,thyroid neoplasm,,,unmapped
911,912,thyroiditis,,,unmapped
912,913,tinnitus,,,unmapped
913,914,tongue discolouration,,,unmapped
914,915,tongue disorder,,,unmapped
915,916,tongue oedema,,,unmapped
916,917,tongue ulceration,,,unmapped
917,918,tonsillitis,,,unmapped
918,919,tooth abscess,,,unmapped
919,920,tooth disorder,,,unmapped
920,921,tooth infection,,,unmapped
921,922,toothache,,,unmapped
922,923,ventricular arrhythmias and cardiac arrest,,,unmapped
923,924,torticollis,,,unmapped
924,925,toxic epidermal necrolysis,,,unmapped
925,926,toxicity to various agents,,,unmapped
926,927,tracheitis,,,unmapped
927,928,trachea bronchus inflammation,,,unmapped
928,929,transaminases increased,,,unmapped
929,930,transient ischaemic attack,,,unmapped
930,931,tremor,,,unmapped
931,932,masseter spasms,,,unmapped
932,933,inflammation of the interstitial tissue of the kidney,,,unmapped
933,934,tumour lysis syndrome,,,unmapped
934,935,ulcer,,,unmapped
935,936,ulcerative keratitis,,,unmapped
936,937,unintended pregnancy,,,unmapped
937,938,upper respiratory tract infection,,,unmapped
938,939,upper airway cough syndrome,,,unmapped
939,940,urethral disorder,,,unmapped
940,941,urethritis,,,unmapped
941,942,urethritis non infective,,,unmapped
942,943,urinary hesitation,,,unmapped
943,944,urinary incontinence,,,unmapped
944,945,urinary retention,,,unmapped
945,946,urinary tract disorder,,,unmapped
946,947,urinary tract infection,,,unmapped
947,948,urine abnormality,,,unmapped
948,949,urine analysis abnormal,,,unmapped
949,950,urine output increased,,,unmapped
950,951,urticaria,,,unmapped
951,952,uterine disorder,,,unmapped
952,953,uterine haemorrhage,,,unmapped
953,954,uterine smooth muscle tumor,,,unmapped
954,955,uterine spasm,,,unmapped
955,956,uveitis,,,unmapped
956,957,vaginal discharge,,,unmapped
957,958,vaginal haemorrhage,,,unmapped
958,959,vaginal infection,,,unmapped
959,960,varicose vein,,,unmapped
960,961,vascular headache,,,unmapped
961,962,vascular purpura,,,unmapped
962,963,vasculitis,,,unmapped
963,964,vasodilation procedure,,,unmapped
964,965,vasospasm,,,unmapped
965,966,venous thrombosis,,,unmapped
966,967,ventricular arrhythmia,,,unmapped
967,968,premature ventricular contractions,,,unmapped
968,969,ventricular fibrillation,,,unmapped
969,970,ventricular tachycardia,,,unmapped
970,971,vertigo,,,unmapped
971,972,vestibular disorder,,,unmapped
972,973,viral diarrhoea,,,unmapped
973,974,viral infection,,,unmapped
974,975,viral upper respiratory tract infection,,,unmapped
975,976,vision blurred,,,unmapped
976,977,visual acuity reduced,,,unmapped
977,978,visual impairment,,,unmapped
978,979,vomiting,,,unmapped
979,980,vulva vaginal candidiasis,,,unmapped
980,981,vulva vaginal dryness,,,unmapped
981,982,vulva vaginal mold infection,,,unmapped
982,983,vulva vaginal pruritus,,,unmapped
983,984,vulva vagina inflammation,,,unmapped
984,985,weight decreased,,,unmapped
985,986,weight increased,,,unmapped
986,987,wheezing,,,unmapped
987,988,white blood cell count decreased,,,unmapped
988,989,white blood cell count increased,,,unmapped
989,990,withdrawal syndrome,,,unmapped
990,991,wound infection,,,unmapped
991,992,wound secretion,,,unmapped
992,993,dry eye,,,unmapped
993,994,yawning,,,unmapped
